nSeq	I1	I2	O1	O2	A1	A2	A3	A4	A5	A6
7	0	0	1	0	508	511	0	1018	38	6
8	0	0	1	0	515	528	0	80	38	6
9	0	0	1	0	510	527	0	1018	39	6
10	0	0	1	0	524	510	0	129	38	6
11	0	0	1	0	507	497	0	1018	39	6
12	0	0	1	0	519	515	0	114	39	6
13	0	0	1	0	511	537	0	1018	38	6
14	0	0	1	0	515	491	0	480	38	6
15	0	0	1	0	510	515	0	1018	38	6
0	0	0	1	0	513	542	0	540	39	6
1	0	0	1	0	510	483	0	1018	38	6
2	0	0	1	0	514	501	0	0	38	6
3	0	0	1	0	516	541	0	1018	39	6
4	0	0	1	0	513	521	0	0	39	6
5	0	0	1	0	509	491	0	1018	39	6
6	0	0	1	0	519	510	0	0	38	6
7	0	0	1	0	510	480	0	934	38	6
8	0	0	1	0	515	512	0	0	39	6
9	0	0	1	0	515	526	0	1018	38	6
10	0	0	1	0	518	543	0	0	38	6
11	0	0	1	0	508	505	0	1018	39	6
12	0	0	1	0	519	486	0	0	39	6
13	0	0	1	0	511	515	0	1018	39	6
14	0	0	1	0	516	488	0	22	38	6
15	0	0	1	0	504	513	0	1018	38	6
0	0	0	1	0	521	518	0	0	39	6
1	0	0	1	0	508	527	0	1009	38	6
2	0	0	1	0	519	511	0	0	38	6
3	0	0	1	0	516	527	0	1018	38	6
4	0	0	1	0	506	607	0	0	39	6
5	0	0	1	0	504	576	0	409	39	6
6	0	0	1	0	513	418	0	0	38	6
7	0	0	1	0	507	471	0	1018	39	6
8	0	0	1	0	518	484	0	0	39	6
9	0	0	1	0	502	500	0	1018	38	6
10	0	0	1	0	516	524	0	0	38	6
11	0	0	1	0	512	509	0	702	39	6
12	0	0	1	0	507	538	0	0	39	6
13	0	0	1	0	503	513	0	710	39	6
14	0	0	1	0	518	504	0	0	38	6
15	0	0	1	0	509	527	0	398	39	6
0	0	0	1	0	516	535	0	0	39	6
1	0	0	1	0	507	510	0	748	39	6
2	0	0	1	0	513	515	0	0	38	6
3	0	0	1	0	510	542	0	1018	38	6
4	0	0	1	0	516	539	0	0	39	6
5	0	0	1	0	506	514	0	438	39	6
6	0	0	1	0	509	535	0	0	38	6
7	0	0	1	0	508	551	0	608	39	6
8	0	0	1	0	512	529	0	0	39	6
9	0	0	1	0	508	527	0	482	39	6
10	0	0	1	0	515	540	0	0	38	6
11	0	0	1	0	514	540	0	204	39	6
12	0	0	1	0	514	512	0	0	39	6
13	0	0	1	0	504	552	0	859	39	6
14	0	0	1	0	519	531	0	0	38	6
15	0	0	1	0	508	487	0	274	39	6
0	0	0	1	0	521	495	0	0	39	6
1	0	0	1	0	510	499	0	0	39	6
2	0	0	1	0	512	483	0	0	38	6
3	0	0	1	0	514	468	0	322	39	6
4	0	0	1	0	512	465	0	0	39	6
5	0	0	1	0	510	508	0	674	39	6
6	0	0	1	0	513	498	0	0	38	6
7	0	0	1	0	511	496	0	509	39	6
8	0	0	1	0	503	501	0	0	39	6
9	0	0	1	0	513	499	0	761	39	6
10	0	0	1	0	519	488	0	122	38	6
11	0	0	1	0	507	481	0	1018	39	6
12	0	0	1	0	516	515	0	394	39	6
13	0	0	1	0	512	528	0	1018	38	6
14	0	0	1	0	520	511	0	395	38	6
15	0	0	1	0	515	520	0	1018	39	6
0	0	0	1	0	522	521	0	799	39	6
1	0	0	1	0	509	483	0	848	39	6
2	0	0	1	0	518	496	0	368	38	6
3	0	0	1	0	511	502	0	1018	38	6
4	0	0	1	0	516	522	0	435	39	6
5	0	0	1	0	518	520	0	720	39	6
6	0	0	1	0	515	513	0	11	38	6
7	0	0	1	0	509	520	0	371	39	6
8	0	0	1	0	512	526	0	0	39	6
9	0	0	1	0	510	507	0	454	39	6
10	0	0	1	0	516	517	0	0	38	6
11	0	0	1	0	510	518	0	304	39	6
12	0	0	1	0	514	475	0	0	39	6
13	0	0	1	0	509	553	0	744	39	6
14	0	0	1	0	514	519	0	270	38	6
15	0	0	1	0	512	506	0	580	38	6
0	0	0	1	0	513	542	0	52	39	6
1	0	0	1	0	517	526	0	757	39	6
2	0	0	1	0	516	491	0	142	38	6
3	0	0	1	0	507	529	0	766	39	6
4	0	0	1	0	512	544	0	407	39	6
5	0	0	1	0	509	471	0	799	38	6
6	0	0	1	0	511	508	0	316	38	6
7	0	0	1	0	508	553	0	627	39	6
8	0	0	1	0	510	507	0	223	39	6
9	0	0	1	0	511	514	0	503	39	6
10	0	0	1	0	511	510	0	249	38	6
11	0	0	1	0	511	497	0	631	39	6
12	0	0	1	0	511	492	0	309	39	6
13	0	0	1	0	515	544	0	344	39	6
14	0	0	1	0	520	510	0	266	38	6
15	0	0	1	0	512	503	0	738	39	6
0	0	0	1	0	517	515	0	610	38	6
1	0	0	1	0	509	498	0	331	38	6
2	0	0	1	0	513	531	0	0	39	6
3	0	0	1	0	502	545	0	575	38	6
4	0	0	1	0	514	589	0	337	38	6
5	0	0	1	0	513	450	0	499	39	6
6	0	0	1	0	514	437	0	230	38	6
7	0	0	1	0	516	501	0	0	38	6
8	0	0	1	0	513	510	0	0	39	6
9	0	0	1	0	516	485	0	0	39	6
10	0	0	1	0	512	503	0	0	38	6
11	0	0	1	0	510	551	0	0	39	6
12	0	0	1	0	514	517	0	0	39	6
13	0	0	1	0	511	514	0	0	39	6
14	0	0	1	0	514	519	0	27	38	6
15	0	0	1	0	516	481	0	396	39	6
0	0	0	1	0	512	518	0	247	38	6
1	0	0	1	0	512	524	0	0	39	6
