nSeq	I1	I2	O1	O2	A1	A2	A3	A4	A5	A6
12	0	0	1	0	516	522	0	515	38	0
13	0	0	1	0	516	499	0	524	38	0
14	0	0	1	0	512	454	0	515	38	0
15	0	0	1	0	513	447	0	515	38	0
0	0	0	1	0	517	423	0	522	38	0
1	0	0	1	0	514	434	0	517	38	0
2	0	0	1	0	517	454	0	521	38	0
3	0	0	1	0	515	439	0	520	38	0
4	0	0	1	0	512	468	0	519	38	0
5	0	0	1	0	516	467	0	520	38	0
6	0	0	1	0	518	445	0	521	38	0
7	0	0	1	0	519	470	0	521	38	0
8	0	0	1	0	516	473	0	527	38	0
9	0	0	1	0	522	470	0	519	38	0
10	0	0	1	0	518	451	0	520	38	0
11	0	0	1	0	514	496	0	525	38	0
12	0	0	1	0	518	476	0	514	38	0
13	0	0	1	0	512	493	0	515	38	0
14	0	0	1	0	519	552	0	514	38	0
15	0	0	1	0	515	489	0	512	38	0
0	0	0	1	0	516	518	0	521	38	0
1	0	0	1	0	516	508	0	511	38	0
2	0	0	1	0	515	512	0	518	38	0
3	0	0	1	0	514	503	0	515	38	0
4	0	0	1	0	516	512	0	520	38	0
5	0	0	1	0	516	530	0	521	38	0
6	0	0	1	0	508	508	0	520	38	0
7	0	0	1	0	511	531	0	511	38	0
8	0	0	1	0	515	537	0	510	38	0
9	0	0	1	0	517	542	0	510	38	0
10	0	0	1	0	528	531	0	517	38	0
11	0	0	1	0	514	518	0	509	38	0
12	0	0	1	0	517	512	0	513	38	0
13	0	0	1	0	519	505	0	519	38	0
14	0	0	1	0	512	493	0	517	38	0
15	0	0	1	0	515	496	0	516	38	0
0	0	0	1	0	517	529	0	519	38	0
1	0	0	1	0	513	528	0	521	38	0
2	0	0	1	0	519	507	0	514	38	0
3	0	0	1	0	513	485	0	514	38	0
4	0	0	1	0	516	473	0	513	38	0
5	0	0	1	0	519	630	0	511	38	0
6	0	0	1	0	524	807	0	513	38	0
7	0	0	1	0	513	740	0	517	38	0
8	0	0	1	0	511	477	0	510	38	0
9	0	0	1	0	513	404	0	513	38	0
10	0	0	1	0	511	477	0	518	38	0
11	0	0	1	0	516	494	0	511	38	0
12	0	0	1	0	520	489	0	511	38	0
13	0	0	1	0	520	481	0	516	38	0
14	0	0	1	0	517	494	0	502	38	0
15	0	0	1	0	513	507	0	511	38	0
0	0	0	1	0	515	529	0	517	38	0
1	0	0	1	0	508	502	0	517	38	0
2	0	0	1	0	525	544	0	516	38	0
3	0	0	1	0	517	519	0	513	38	0
4	0	0	1	0	513	514	0	517	38	0
5	0	0	1	0	519	535	0	514	38	0
6	0	0	1	0	515	530	0	508	38	0
7	0	0	1	0	516	559	0	512	38	0
8	0	0	1	0	515	570	0	506	38	0
9	0	0	1	0	520	583	0	511	38	0
10	0	0	1	0	511	577	0	519	38	0
11	0	0	1	0	517	594	0	514	38	0
12	0	0	1	0	518	607	0	512	38	0
13	0	0	1	0	509	591	0	513	38	0
14	0	0	1	0	516	583	0	514	38	0
15	0	0	1	0	517	560	0	519	38	0
